Block 640: res=9a, exp=9a
Block 641: res=98, exp=98
Block 642: res=94, exp=94
Block 643: res=92, exp=92
Block 644: res=94, exp=94
Block 645: res=93, exp=93
Block 646: res=93, exp=93
Block 647: res=93, exp=93
Block 648: res=91, exp=91
Block 649: res=92, exp=92
Block 650: res=92, exp=92
Block 651: res=94, exp=94
Block 652: res=90, exp=90
Block 653: res=8f, exp=8f
Block 654: res=92, exp=92
Block 655: res=92, exp=92
Block 656: res=91, exp=91
Block 657: res=92, exp=92
Block 658: res=91, exp=91
Block 659: res=90, exp=90
Block 660: res=90, exp=90
Block 661: res=90, exp=90
Block 662: res=90, exp=90
Block 663: res=90, exp=90
Block 664: res=8b, exp=8b
Block 665: res=8a, exp=8a
Block 666: res=8a, exp=8a
Block 667: res=87, exp=87
Block 668: res=82, exp=82
Block 669: res=7e, exp=7e
Block 670: res=7b, exp=7b
Block 671: res=75, exp=75
Block 672: res=7b, exp=7b
Block 673: res=85, exp=85
Block 674: res=90, exp=90
Block 675: res=99, exp=99
Block 676: res=a1, exp=a1
Block 677: res=a8, exp=a8
Block 678: res=aa, exp=aa
Block 679: res=b0, exp=b0
Block 680: res=b3, exp=b3
Block 681: res=b5, exp=b5
Block 682: res=b4, exp=b4
Block 683: res=b0, exp=b0
Block 684: res=aa, exp=aa
Block 685: res=ab, exp=ab
Block 686: res=ab, exp=ab
Block 687: res=ab, exp=ab
Block 688: res=ac, exp=ac
Block 689: res=ae, exp=ae
Block 690: res=ae, exp=ae
Block 691: res=ae, exp=ae
Block 692: res=b0, exp=b0
Block 693: res=b0, exp=b0
Block 694: res=ae, exp=ae
Block 695: res=ac, exp=ac
Block 696: res=ac, exp=ac
Block 697: res=ab, exp=ab
Block 698: res=ac, exp=ac
Block 699: res=ad, exp=ad
Block 700: res=ac, exp=ac
Block 701: res=ad, exp=ad
Block 702: res=af, exp=af
Block 703: res=ad, exp=ad
Block 704: res=ae, exp=ae
Block 705: res=af, exp=af
Block 706: res=b0, exp=b0
Block 707: res=ae, exp=ae
Block 708: res=b1, exp=b1
Block 709: res=b1, exp=b1
Block 710: res=b0, exp=b0
Block 711: res=ad, exp=ad
Block 712: res=ae, exp=ae
Block 713: res=c3, exp=c3
Block 714: res=dd, exp=dd
Block 715: res=e9, exp=e9
Block 716: res=ed, exp=ed
Block 717: res=f2, exp=f2
Block 718: res=f4, exp=f4
Block 719: res=f5, exp=f5
Block 720: res=f5, exp=f5
Block 721: res=f0, exp=f0
Block 722: res=de, exp=de
Block 723: res=b6, exp=b6
Block 724: res=87, exp=87
Block 725: res=73, exp=73
Block 726: res=77, exp=77
Block 727: res=7c, exp=7c
Block 728: res=83, exp=83
Block 729: res=84, exp=84
Block 730: res=85, exp=85
Block 731: res=89, exp=89
Block 732: res=8a, exp=8a
Block 733: res=87, exp=87
Block 734: res=89, exp=89
Block 735: res=89, exp=89
